Id,FieldId,FieldPit,PitName,FieldRegion,RegionName,FieldBlendrec,BlendName,FieldPath,PathName,FieldBean,BeanName,FieldInvbean,InvBeanName,FieldHaul,FieldOre,FieldDumpfeed,FieldDumpcapy,FieldBinsize,FieldXloc,FieldYloc,FieldPathix,FieldTimedump,FieldZloc,FieldSignid,FieldUnit,Unit,FieldLoad,Load,FieldIstiedown,FieldStatus,Status,FieldLinestat,Linestat,FieldSpillage,FieldSignpost,FieldShoptype,Shoptype,FieldDumpqueue,FieldPctcapy,FieldBays,FieldNopenalty,FieldTimelast,FieldRadius,FieldGpstype,Gpstype,FieldReason
1344288,NDO_INF5_TR20,1184488,DLB,1213388,INFIERNILLO 5,-1,,3720860,,-1,,-1,,0,0,0,10000000000,0,100957,99350,72,60,3340.0,11,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,35,396,Punto Interm.,-1
1345988,NDO_INF7_TR01,1184488,DLB,1216788,INFIERNILLO 7A,-1,,3566024,,-1,,-1,,0,0,0,10000000000,0,100066,98883,73,60,3440.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1347688,NDO_INF7_TR02,1184488,DLB,1216788,INFIERNILLO 7A,-1,,3477980,,-1,,-1,,0,0,0,10000000000,0,100350,98866,74,60,3418.0,34,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,1,245,Otro,0,100,0,0,0,30,396,Punto Interm.,-1
1349388,NDO_INF7_TR05,1184488,DLB,1216788,INFIERNILLO 7A,-1,,3787652,,-1,,-1,,0,0,0,10000000000,0,100092,99007,75,60,3360.0,113,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,36,396,Punto Interm.,-1
1351088,NDO_INF7_TR06,1184488,DLB,1216788,INFIERNILLO 7A,-1,,3465836,,-1,,-1,,0,0,0,10000000000,0,100252,99468,76,60,3295.0,116,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,36,396,Punto Interm.,-1
1352788,NDO_INF7_TR07,1184488,DLB,1216788,INFIERNILLO 7A,-1,,3790688,,-1,,-1,,0,0,0,10000000000,0,99934,99234,77,60,3330.0,114,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,45,396,Punto Interm.,-1
1354488,NDO_INF7_TR08,1184488,DLB,1216788,INFIERNILLO 7A,-1,,3808904,,-1,,-1,,0,0,0,10000000000,0,100505,99745,78,60,3270.0,118,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,1,245,Otro,0,100,0,0,0,50,396,Punto Interm.,-1
1356188,NDO_INF7_TR09,1184488,DLB,1216788,INFIERNILLO 7A,-1,,3811940,,-1,,-1,,0,0,0,10000000000,0,100254,99334,79,60,3240.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1357888,NDO_INF7_TR11,1184488,DLB,1216788,INFIERNILLO 7A,-1,,3833192,,-1,,-1,,0,0,0,10000000000,0,100413,99211,80,60,3200.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,30,394,Desabilitado,-1
1359588,NDO_INF7_TR12,1184488,DLB,1216788,INFIERNILLO 7A,-1,,3654068,,-1,,-1,,0,0,0,10000000000,0,100637,98846,81,60,3395.0,61,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,68,396,Punto Interm.,-1
1361288,NDO_LUB_TR01,1184488,DLB,1259288,MINA,-1,,3450656,,-1,,-1,,0,0,0,10000000000,0,100090,100300,82,60,3518.7,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1362988,NDO_LUB_TR02,1184488,DLB,1259288,MINA,-1,,3432440,,-1,,-1,,0,0,0,10000000000,0,100061,100365,83,60,3520.9,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1364688,NDO_LUB_TR03,1184488,DLB,1259288,MINA,-1,,3441548,,-1,,-1,,0,0,0,10000000000,0,100080,100413,84,60,3524.0,84,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,47,396,Punto Interm.,-1
1366388,NDO_LUB_TR04,1184488,DLB,1259288,MINA,-1,,3435476,,-1,,-1,,0,0,0,10000000000,0,100120,100378,85,60,3520.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1368088,NDO_LUB_TR05,1184488,DLB,1259288,MINA,-1,,3438512,,-1,,-1,,0,0,0,10000000000,0,100156,100341,86,60,3519.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1369788,NDO_LUB_TR06,1184488,DLB,1259288,MINA,-1,,3581204,,-1,,-1,,0,0,0,10000000000,0,100181,100311,87,60,3518.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1371488,NDO_MASMIL_TR01,1184488,DLB,1259288,MINA,-1,,3481016,,-1,,-1,,0,0,0,10000000000,0,99821,98983,88,60,3430.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1373188,NDO_MASMIL_TR02,1184488,DLB,1259288,MINA,-1,,3484052,,-1,,-1,,0,0,0,10000000000,0,99945,99423,89,60,3450.0,8,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,43,396,Punto Interm.,-1
1374888,NDO_MASMIL_TR03,1184488,DLB,1259288,MINA,-1,,3763364,,-1,,-1,,0,0,0,10000000000,0,100193,99754,90,60,3479.9,20,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,40,396,Punto Interm.,-1
1376588,NDO_MASMIL_TR06,1184488,DLB,1259288,MINA,-1,,3681392,,-1,,-1,,0,0,0,10000000000,0,99679,99165,91,60,3430.0,64,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,1,245,Otro,0,100,0,0,0,50,396,Punto Interm.,-1
1378288,NDO_PRIM1_TR02,1184488,DLB,1259288,MINA,-1,,3399044,,-1,,-1,,0,0,0,10000000000,0,100203,100251,92,60,3518.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1379988,NDO_PRIM1_TR03,1184488,DLB,1259288,MINA,-1,,3389936,,-1,,-1,,0,0,0,10000000000,0,100185,100282,93,60,3518.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,1,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1381688,NDO_PRIM1_TR10,1184488,DLB,1259288,MINA,-1,,3644960,,-1,,-1,,0,0,0,10000000000,0,100262,100066,94,60,3518.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1383388,NDO_PRIM1_TR11,1184488,DLB,1259288,MINA,-1,,3641924,,-1,,-1,,0,0,0,10000000000,0,100175,100130,95,60,3518.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1385088,NDO_PRIM1_TR13,1184488,DLB,1259288,MINA,-1,,3647996,,-1,,-1,,0,0,0,10000000000,0,100255,100182,96,60,3518.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1386788,NDO_PRIM1_TR20,1184488,DLB,1259288,MINA,-1,,3657104,,-1,,-1,,0,0,0,10000000000,0,100099,100209,97,60,3518.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1388488,NDO_PRIM2_TR01,1184488,DLB,1259288,MINA,-1,,3392972,,-1,,-1,,0,0,0,10000000000,0,100319,100119,98,60,3516.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1390188,NDO_PRIM2_TR02,1184488,DLB,1259288,MINA,-1,,3487088,,-1,,-1,,0,0,0,10000000000,0,100286,100143,99,60,3517.9,90,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1391888,NDO_SFCO_TR00,1184488,DLB,1259288,MINA,-1,,3526556,,-1,,-1,,0,0,0,10000000000,0,99586,98995,100,60,3485.0,16,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,1,245,Otro,0,100,0,0,0,50,396,Punto Interm.,-1
1393588,NDO_SFCO_TR01,1184488,DLB,1259288,MINA,-1,,3468872,,-1,,-1,,0,0,0,10000000000,0,98772,98253,101,60,3557.7,72,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,40,396,Punto Interm.,-1
1395288,NDO_SFCO_TR03,1184488,DLB,1259288,MINA,-1,,3547808,,-1,,-1,,0,0,0,10000000000,0,99105,98481,102,60,3595.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
