DbPrevious,DbNext,DbVersion,Id,DbName,DbKey,FieldId,FieldLocstart,FieldLocend,FieldDist,FieldTimeempty,FieldTimeloaded,FieldClosed,FieldFactor,FieldStreet,FieldResist
3357688,6503156,13,3357844,pitdat.ddb,3357844,0016ECB4,1502388,1283088,89,14,23,0,100,,0
3309640,3358468,2,3358312,pitdat.ddb,3358312,001700A0,1507488,1449688,44,7,9,0,100,,0
3358312,3358624,68,3358468,pitdat.ddb,3358468,170744,1509188,1266088,143,21,23,0,100,,0
3358468,3358780,1,3358624,pitdat.ddb,3358624,001721D4,1515988,1449688,83,18,13,0,100,,0
3358624,3358936,2,3358780,pitdat.ddb,3358780,00173C64,1522788,1279688,77,13,14,0,100,,0
3358780,3359092,1,3358936,pitdat.ddb,3358936,174308,1524488,1396988,297,55,58,0,100,,0
3358936,3359248,1,3359092,pitdat.ddb,3359092,001749AC,1526188,1449688,244,58,36,0,100,,0
3359092,3359404,306,3359248,pitdat.ddb,3359248,175050,1527888,1267788,725,116,76,0,100,,0
3359248,17176612,11,3359404,pitdat.ddb,3359404,001756F4,1529588,1481988,619,109,118,0,100,,0
3357844,3309640,924,6503156,pitdat.ddb,6503156,0016F358,1504088,1410588,106,13,56,0,100,,0
17439036,44229448,928,10308952,pitdat.ddb,10308952,0015861C,1410588,1505788,259,40,45,0,100,,0
3352228,35501616,4507,11386728,pitdat.ddb,11386728,166140,1466688,1334088,260,47,60,0,100,,0
17176772,35348532,360,17175048,pitdat.ddb,17175048,01060B60,17173344,1410588,351,50,57,0,100,,0
3359404,38963960,365,17176612,pitdat.ddb,17176612,962800000000,9840872,17173344,969,203,199,0,100,,0
38963960,17175048,365,17176772,pitdat.ddb,17176772,01060B60,17173344,9840872,969,219,208,0,100,,0
3340528,10308952,800,17439036,pitdat.ddb,17439036,0015861C,1410588,1504088,106,47,40,0,100,,0
32338060,3308860,89,19197412,pitdat.ddb,19197412,0013C28C,1294988,1189588,180,33,51,0,100,,0
3293260,3295288,166,19197572,pitdat.ddb,19197572,001226D4,1189588,1294988,180,44,45,0,100,,0
35348532,46977052,353,23330764,pitdat.ddb,23330764,012A4EB0,19549872,1296688,126,17,19,0,100,,0
34979868,26535092,299,23741396,pitdat.ddb,23741396,0013C930,1296688,19549872,126,19,33,0,100,,0
3314008,3314476,1647,26534932,pitdat.ddb,26534932,0013F7AC,1308588,1296688,406,66,74,0,100,,0
23741396,3310420,1623,26535092,pitdat.ddb,26535092,0013C930,1296688,1308588,406,71,62,0,100,,0
3301060,46029576,4064,27867380,pitdat.ddb,27867380,00134B04,1264388,27864912,192,37,35,0,100,,0
46977052,39834916,2838,27867540,pitdat.ddb,27867540,01A92F50,27864912,1264388,192,29,54,1,100,,0
3306988,3307144,52,30257040,pitdat.ddb,30257040,00139AB4,1284788,30252368,101,17,18,0,100,,0
39834916,31507288,62,30401000,pitdat.ddb,30401000,01CD9D50,30252368,1284788,101,17,18,0,100,,0
3346924,3347392,604,31507128,pitdat.ddb,31507128,0015F700,1439488,31504484,340,63,120,0,100,,0
30401000,42930396,616,31507288,pitdat.ddb,31507288,01E0B864,31504484,1439488,340,40,46,0,100,,0
3308392,19197412,2751,32338060,pitdat.ddb,32338060,0013B544,1291588,1294988,389,74,103,0,100,,0
3319312,35501456,4431,32814516,pitdat.ddb,32814516,00145B48,1334088,1466688,260,41,40,0,100,,0
3345052,34561048,7,34560728,pitdat.ddb,34560728,0015DC70,1432688,1140288,124,23,24,0,100,,0
3291544,3291700,4,34560888,pitdat.ddb,34560888,116640,1140288,1432688,124,20,21,0,100,,0
34560728,3345364,368,34561048,pitdat.ddb,34561048,0015DC70,1432688,1116488,296,44,66,0,100,,0
3290296,3290608,365,34561208,pitdat.ddb,34561208,110948,1116488,1432688,296,50,53,0,100,,0
47909396,36840420,1395,34979708,pitdat.ddb,34979708,0207EC44,34073668,1296688,381,56,72,0,100,,0
3309172,23741396,1290,34979868,pitdat.ddb,34979868,0013C930,1296688,34073668,381,57,66,0,100,,0
17175048,23330764,625,35348532,pitdat.ddb,35348532,01185C08,18373640,1306888,354,66,69,0,100,,0
3313540,3314008,616,35348692,pitdat.ddb,35348692,0013F108,1306888,18373640,354,60,62,0,100,,0
32814516,38964120,1316,35501456,pitdat.ddb,35501456,001475D8,1340888,1466688,305,94,53,0,100,,0
11386728,36840260,1296,35501616,pitdat.ddb,35501616,166140,1466688,1340888,305,74,59,0,100,,0
35501616,38656452,846,36840260,pitdat.ddb,36840260,166140,1466688,36652724,112,28,20,0,100,,0
34979708,43015360,876,36840420,pitdat.ddb,36840420,022F46B4,36652724,1466688,112,28,61,0,100,,0
38656452,44924604,20,38583808,pitdat.ddb,38583808,166140,1466688,1238888,217,52,39,0,100,,0
3345208,3299500,28,38656292,pitdat.ddb,38656292,0012EE0C,1240588,1466688,239,52,44,0,100,,0
36840260,38583808,27,38656452,pitdat.ddb,38656452,166140,1466688,1240588,239,41,43,0,100,,0
17176612,17176772,112,38963960,pitdat.ddb,38963960,00A7CB18,10996504,1340888,157,30,61,0,100,,0
35501456,40445092,110,38964120,pitdat.ddb,38964120,001475D8,1340888,10996504,157,19,27,0,100,,0
27867540,30401000,1195,39834916,pitdat.ddb,39834916,01A92F50,27864912,31504484,156,21,21,0,100,,0
38964120,44786860,666,40445092,pitdat.ddb,40445092,001475D8,1340888,1228688,279,39,42,0,100,,0
47091944,44924444,687,40445252,pitdat.ddb,40445252,0012BF90,1228688,1340888,279,43,71,0,100,,0
43015360,44305984,538,40801156,pitdat.ddb,40801156,02A40214,44302868,1356188,415,62,100,0,100,,0
31507288,46029896,18,42930396,pitdat.ddb,42930396,01E0B864,31504484,27864912,156,24,39,1,100,,0
36840420,40801156,349,43015360,pitdat.ddb,43015360,027ECE30,41864752,1357888,152,23,38,0,100,,0
44924604,3353320,3,43110296,pitdat.ddb,43110296,166140,1466688,23889372,203,33,30,0,100,,0
10308952,3340684,811,44229448,pitdat.ddb,44229448,0015861C,1410588,1407188,241,27,29,0,100,,0
3325240,44305824,477,44304572,pitdat.ddb,44304572,0014B19C,1356188,44302868,415,67,62,0,100,,0
44304572,44559228,531,44305824,pitdat.ddb,44305824,0014B840,1357888,44302868,101,21,36,0,100,,0
40801156,47909556,472,44305984,pitdat.ddb,44305984,02A40214,44302868,1357888,101,14,18,0,100,,0
3339592,3340216,810,44317844,pitdat.ddb,44317844,001578D4,1407188,1410588,241,39,73,0,100,,0
44305824,44688300,346,44559228,pitdat.ddb,44559228,0014B840,1357888,41864752,152,23,23,0,100,,0
44688140,46029416,30,44575456,pitdat.ddb,44575456,02AB5AF8,44784376,1340888,242,37,66,0,100,,0
47909556,44575456,104,44688140,pitdat.ddb,44688140,02A97AB0,44661424,1357888,173,23,19,0,100,,0
44559228,3326800,100,44688300,pitdat.ddb,44688300,0014B840,1357888,44661424,173,30,60,0,100,,0
40445092,47091784,33,44786860,pitdat.ddb,44786860,001475D8,1340888,44784376,242,46,36,0,100,,0
40445252,3345208,347,44924444,pitdat.ddb,44924444,0012D37C,1233788,1466688,285,63,53,0,100,,0
38583808,43110296,342,44924604,pitdat.ddb,44924604,166140,1466688,1233788,285,53,51,0,100,,0
44575456,46029736,510,46029416,pitdat.ddb,46029416,02BE4E44,46026308,1264388,150,25,24,0,100,,0
27867380,3301216,72,46029576,pitdat.ddb,46029576,00134B04,1264388,46026308,150,31,35,0,100,,0
46029416,46030056,4,46029736,pitdat.ddb,46029736,02BE4E44,46026308,31504484,167,20,30,1,100,,0
42930396,47909396,441,46029896,pitdat.ddb,46029896,01E0B864,31504484,46026308,167,33,61,0,100,,0
46029736,-1,78,46030056,pitdat.ddb,46030056,02BE4E44,46026308,1148788,218,47,50,0,100,,0
3292168,3292480,79,46030216,pitdat.ddb,46030216,118774,1148788,46026308,218,39,43,0,100,,0
23330764,27867540,3,46977052,pitdat.ddb,46977052,016C85DC,23889372,1466688,203,33,57,0,100,,0
44786860,3322432,35,47091784,pitdat.ddb,47091784,001475D8,1340888,1199788,67,9,13,0,100,,0
3295912,40445252,39,47091944,pitdat.ddb,47091944,00124EAC,1199788,1340888,67,25,35,0,100,,0
46029896,34979708,20,47909396,pitdat.ddb,47909396,2006128,33579304,44302868,155,24,37,0,100,,0
44305984,44688140,18,47909556,pitdat.ddb,47909556,02A40214,44302868,33579304,155,20,23,0,100,,0
